N0,Food commodity,Pricing Type,Currency,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD'24,YTD'25,Change (%)
83,Pak Choi (kg),Wholesale,KHR,3288,3410,4575,3015,3097,3152,3647,3829,3929,3549.1111111111113,3346,2499,4154,3871,2868,2788,4250,4398,4352,3614.0,35491.11111111111,36140.0,0.018283138187965786
84,Chinese flowering cabbage (kg),Wholesale,KHR,3171,3115,4273,2981,2671,3103,3494,3696,3567,3341.222222222222,3196,2500,4086,3482,2710,2625,3827,4080,4468,3441.5555555555557,33412.22222222222,34415.555555555555,0.03002893152871544
85,Mustard Greens (kg),Wholesale,KHR,3183,3128,4560,2917,2852,2992,3621,3312,3564,3347.6666666666665,3042,2718,3782,3510,2751,2768,3688,3794,4066,3346.5555555555557,33476.666666666664,33465.555555555555,-0.0003319061369444487
86,Amaranthus (kg),Wholesale,KHR,3156,3000,4042,3556,3315,2972,2820,3375,3788,3336.0,2950,2750,3958,3248,3033,2875,3200,4617,4690,3480.1111111111113,33360.0,34801.11111111111,0.04319877431388219
87,Ngob leaves (kg),Wholesale,KHR,4500,5550,5811,5145,4511,3750,3520,4900,3675,4595.777777777777,4000,2700,5000,4275,4167,4500,3783,4972,7000,4488.555555555556,45957.77777777778,44885.555555555555,-0.023330593298196534
88,Pumpkin leaves (kg),Wholesale,KHR,5044,4043,4700,4460,4429,3600,4400,4570,4117,4373.666666666667,3940,3500,4143,3650,4438,4500,3925,4417,6667,4353.333333333333,43736.666666666664,43533.333333333336,-0.004649035896654108
89,Pumpkin fruit (kg),Wholesale,KHR,1800,2135,2496,2585,2407,1460,1612,1625,1892,2001.3333333333333,1625,1525,1521,1443,1264,1245,1691,2158,2227,1633.2222222222222,20013.333333333332,16332.222222222223,-0.18393293359982232
90,Bottle gourd (kg),Wholesale,KHR,1783,2000,2670,2300,1875,1100,983,0,1667,1797.25,-,-,2000,1250,-,2000,0,1625,1500,1675.0,16175.25,10050.0,-0.3786803913386192
91,Wax gourd (kg),Wholesale,KHR,2056,2483,3237,2578,2374,1850,1752,1640,1586,2172.8888888888887,1745,1415,1721,2668,2633,2088,1627,1931,2618,2049.5555555555557,21728.88888888889,20495.555555555555,-0.05676007363469027
92,Long eggplants (kg),Wholesale,KHR,2369,2679,3014,2375,2608,2409,2702,2500,2718,2597.1111111111113,2096,1942,2558,2900,2569,2400,2700,2973,4074,2690.222222222222,25971.11111111111,26902.222222222223,0.03585180114657316
